rivi_id,myymala,ketju,kunta,maakunta,alueosuuskauppa,aloituspaiva,aloitus_tarkkuus,lopetuspaiva,tila,huomiot,lahde_id
11,Alepa Keilaniemi,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
12,Alepa Pajamäki,Alepa,Helsinki,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
13,Alepa Etelä-Haaga,Alepa,Helsinki,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
14,Alepa Pasilanraitio,Alepa,Helsinki,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
15,Alepa Jupperi,Alepa,Espoo,Uusimaa,HOK-Elanto,2023-05-02,viikko,,aktiivinen,"Vakinainen palvelu S-kaupat-sovelluksessa alkoi viikolla 18/2023 (tiedote 2.5.2023: 'tällä viikolla' kolme Alepaa Espoossa, ensimmäisten päivien aikana yhdeksän myymälää). Palvelu laajeni 'pariinkymmeneen' Alepaan alkukesällä 2023, muita myymälöitä ei nimetty.",L02;L01;L10
16,Alepa-myymälät Vantaalla (nimeämättömät),Alepa,Vantaa,Uusimaa,HOK-Elanto,2023-06,arvio,,aktiivinen,"HOK-Elanto: robokuljetukset laajenivat Vantaalle alkukesällä 2023; tiedote ei nimennyt Vantaan myymälöitä. Rivi merkitsee Vantaan aloitusvuotta, ei yksittäistä myymälää.",L02;L06
17,Alepa Kuparitalo,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
18,Alepa Sturenkatu 40,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
19,Alepa Jollas,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
20,Alepa Vuosaari,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
21,Alepa Kannelmäki,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
22,Alepa Pikku Huopalahti,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
23,Alepa Ruoholahdenkatu,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
24,Alepa Porttipuisto,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa. Tiedote listaa myymälän Helsingin alle; Porttipuisto-niminen alue sijaitsee Vantaalla (Kehä III) – kunta varmistettava.",L09
25,Alepa Karakallio,Alepa,Espoo,Uusimaa,HOK-Elanto,2026-05,arvio,,aktiivinen,"HOK-Elannon tiedote 19.5.2026 listaa myymälän kohtaan 'myymälät, joihin robokuljetukset on jo avattu' (kevät 2026). Tarkka avauspäivä ei tiedossa.",L09
26,Alepa Siltamäki,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
27,Alepa Mechelininkatu,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
28,Alepa Viiskulma,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
29,Alepa Kruununhaka,Alepa,Helsinki,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
30,Alepa Ilola,Alepa,Vantaa,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
31,Alepa Pellonkulma,Alepa,Järvenpää,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
32,Alepa Lahela,Alepa,Tuusula,Uusimaa,HOK-Elanto,2026-06,kuukausi,,aktiivinen,HOK-Elannon tiedote 19.5.2026: robokuljetukset avataan touko–kesäkuussa 2026.,L09
33,Sale Amuri,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,aktiivinen,Tampereen ensimmäiset robomyymälät.,L11;L12
34,Sale Hervanta,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,aktiivinen,Tampereen ensimmäiset robomyymälät.,L11;L12
35,Sale Hatanpää,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,aktiivinen,Tampereen ensimmäiset robomyymälät.,L11;L12
36,Sale Härmälänranta,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,aktiivinen,Tampereen ensimmäiset robomyymälät.,L11;L12
37,Sale Vuores,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,aktiivinen,Tampereen ensimmäiset robomyymälät.,L11;L12
38,Sale Tampella,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023-06-13,päivä,,epäselvä,"Mukana 13.6.2023 aloituksessa, mutta ei enää POK:n robomyymälälistalla 6/2024 eikä 10/2024 (rajatapaus; lopetus/siirto ei tiedotettu).",L11;L12;L74
39,Sale Osmonmäki,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2023,arvio,,aktiivinen,Tiedote 13.6.2023: robokuljetukset alkavat myymälän remontin valmistuttua; mukana kuuden Salen listalla 6/2024.,L11;L12
40,Sale Janka,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-06-04,päivä,,aktiivinen,,L12
41,Sale Suuppa,Sale,Pirkkala,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-06-04,päivä,,aktiivinen,,L12
42,S-market Myllyhaka,S-market,Nokia,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-06-04,päivä,,aktiivinen,Ensimmäiset S-marketit Pirkanmaalla.,L12
43,S-market Kangasala,S-market,Kangasala,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-06-04,päivä,,aktiivinen,Ensimmäiset S-marketit Pirkanmaalla.,L12
44,S-market Kaukajärvi,S-market,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-10-21,päivä,,aktiivinen,,L13;L74
45,S-market Tesoma,S-market,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-10-21,päivä,,aktiivinen,,L13;L74
46,S-market Superi,S-market,Valkeakoski,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-10-22,päivä,,aktiivinen,,L13;L74
47,S-market Toijala,S-market,Akaa,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-10-22,päivä,,aktiivinen,POK:n mukaan yksi aktiivisimmista robomyymälöistä.,L13;L14;L74
48,Sale Leinola,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2024-10-23,päivä,,aktiivinen,,L13;L74
49,S-market Niemenranta,S-market,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2025-05-06,päivä,,aktiivinen,,L14
50,S-market Lempäälä,S-market,Lempäälä,Pirkanmaa,Pirkanmaan Osuuskauppa,2025-05-06,päivä,,aktiivinen,,L14
51,Sale Metsäkylä,Sale,Ylöjärvi,Pirkanmaa,Pirkanmaan Osuuskauppa,2025-05-06,päivä,,aktiivinen,,L14
52,Sale Hallila,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-11,päivä,,aktiivinen,Ensimmäistä kertaa uusia alueita avattiin talvella.,L15
53,Sale Sorva,Sale,Nokia,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-11,päivä,,aktiivinen,,L15
54,S-market Sääksjärvi,S-market,Lempäälä,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-11,päivä,,aktiivinen,,L15
55,S-market Hyhky,S-market,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-17,päivä,,aktiivinen,,L15
56,Sale Annala,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-25,päivä,,aktiivinen,,L15
57,Sale Asemantie,Sale,Ylöjärvi,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-25,päivä,,aktiivinen,"Kunta tarkistettu: Asemantie 2, Ylöjärvi.",L15;L80
58,Sale Hippos,Sale,Tampere,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-25,päivä,,aktiivinen,Kalevaan kesällä 2025 avattu uusi Sale.,L15;L14
59,Sale Nattari,Sale,Kangasala,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-03-25,päivä,,aktiivinen,Kunta tarkistettu (Kangasala).,L15;L80
60,Sale Kaurasmäki,Sale,Ylöjärvi,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-04-28,päivä,,aktiivinen,"Kunta tarkistettu: Kauraslaaksontie 2, Ylöjärvi.",L15;L80
61,S-market Virrat,S-market,Virrat,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-06,päivä,,aktiivinen,,L15
62,S-market Viiala,S-market,Akaa,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-06,päivä,,aktiivinen,,L15
63,S-market Tippavaara,S-market,Hämeenkyrö,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-06,päivä,,aktiivinen,"Kunta tarkistettu: Kyreltie 1, Kyröskoski, Hämeenkyrö.",L15;L80
64,S-market Mänttä,S-market,Mänttä-Vilppula,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-06,päivä,,aktiivinen,,L15
65,S-market Orivesi,S-market,Orivesi,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-06,päivä,,aktiivinen,,L15
66,Sale Hakkari,Sale,Lempäälä,Pirkanmaa,Pirkanmaan Osuuskauppa,2026-05-13,päivä,,aktiivinen,Uudelleenrakennettu Sale (vanha myymälä purettu 4/2025).,L15
67,Sale Hämeenkatu,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2023-06-15,viikko,,aktiivinen,"Tiedote 15.6.2023 ei nimennyt myymälöitä ('Turun keskustan Sale-myymälöistä'; alueet keskusta, Linnafältti, Martti, yliopistonmäki, Nummi). Nimi päätelty TOK:n robomyymälälistasta ja laajennustiedotteista; aloitusviikko 24/2023.",L16;L22
68,Sale Kompassi,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2023-06-15,viikko,,aktiivinen,"Tiedote 15.6.2023 ei nimennyt myymälöitä ('Turun keskustan Sale-myymälöistä'; alueet keskusta, Linnafältti, Martti, yliopistonmäki, Nummi). Nimi päätelty TOK:n robomyymälälistasta ja laajennustiedotteista; aloitusviikko 24/2023.",L16;L22
69,Sale Käsityöläiskatu,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2023-06-15,viikko,,aktiivinen,"Tiedote 15.6.2023 ei nimennyt myymälöitä ('Turun keskustan Sale-myymälöistä'; alueet keskusta, Linnafältti, Martti, yliopistonmäki, Nummi). Nimi päätelty TOK:n robomyymälälistasta ja laajennustiedotteista; aloitusviikko 24/2023.",L16;L22
70,Sale Martti,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2023-06-15,viikko,,aktiivinen,"Tiedote 15.6.2023 ei nimennyt myymälöitä ('Turun keskustan Sale-myymälöistä'; alueet keskusta, Linnafältti, Martti, yliopistonmäki, Nummi). Nimi päätelty TOK:n robomyymälälistasta ja laajennustiedotteista; aloitusviikko 24/2023.",L16;L22
71,S-market Lieto,S-market,Lieto,Varsinais-Suomi,Turun Osuuskauppa (TOK),2023-12-18,päivä,,aktiivinen,TOK:n ensimmäinen robomyymälä Turun ulkopuolella.,L17;L79
72,Sale Etappi,Sale,Naantali,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
73,S-market Naantali (Tuulensuunkatu),S-market,Naantali,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
74,S-market Vakka-Suomenkatu (Uusikaupunki),S-market,Uusikaupunki,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
75,S-market Kaarina,S-market,Kaarina,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
76,S-market Parainen,S-market,Parainen,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
77,S-market Piikkiö,S-market,Kaarina,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-05-27,viikko,,aktiivinen,Tiedote 27.5.2024: 'tällä viikolla'.,L18
78,Sale Lauste,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
79,Sale Petrelius,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
80,Sale Jyrkkälä,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
81,Sale Runosmäki,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
82,S-market Raisiontori,S-market,Raisio,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
83,S-market Auranlaakso,S-market,Kaarina,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
84,S-market Rusko,S-market,Rusko,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
85,S-market Halinen,S-market,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2024-06,kuukausi,,aktiivinen,Tiedote 27.5.2024: käyttöön kesäkuun 2024 puoliväliin mennessä.,L18
86,S-market Aura,S-market,Aura,Varsinais-Suomi,Turun Osuuskauppa (TOK),2025-05-21,päivä,,aktiivinen,,L19
87,Sale Jäkärlä,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2025-08,kuukausi,,aktiivinen,TOK:n tiedote 27.8.2025 'Ruoan kuljetusrobotit saapuvat Jäkärlään'; tarkka päivä ei tarkistettu.,L20;L22
88,S-market Moisio,S-market,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2025,arvio,,aktiivinen,"Ei nimetty 2024 laajennuksissa eikä 2026 laajennuksissa, mutta mukana TOK:n 40 myymälän listalla → aloitus välillä 7/2024–3/2026 (todennäköisimmin 2025). Tiedotetta ei löydetty.",L22
89,S-market Mynämäki,S-market,Mynämäki,Varsinais-Suomi,Turun Osuuskauppa (TOK),2025,arvio,,aktiivinen,"Ei nimetty 2024 laajennuksissa eikä 2026 laajennuksissa, mutta mukana TOK:n 40 myymälän listalla → aloitus välillä 7/2024–3/2026 (todennäköisimmin 2025). Tiedotetta ei löydetty.",L22
90,S-market Paimio,S-market,Paimio,Varsinais-Suomi,Turun Osuuskauppa (TOK),2025,arvio,,aktiivinen,"Ei nimetty 2024 laajennuksissa eikä 2026 laajennuksissa, mutta mukana TOK:n 40 myymälän listalla → aloitus välillä 7/2024–3/2026 (todennäköisimmin 2025). Tiedotetta ei löydetty.",L22
91,Sale Verkahovi,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-04,kuukausi,,aktiivinen,Tiedote 8.6.2026: laajentaminen aloitettiin huhtikuussa 2026.,L21;L22
92,Sale Laivurinkatu,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-04,kuukausi,,aktiivinen,Tiedote 8.6.2026: laajentaminen aloitettiin huhtikuussa 2026.,L21;L22
93,Sale Koulukatu (Uusikaupunki),Sale,Uusikaupunki,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-04,kuukausi,,aktiivinen,Tiedote 8.6.2026: laajentaminen aloitettiin huhtikuussa 2026.,L21;L22
94,S-market Pansio,S-market,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-04,kuukausi,,aktiivinen,Tiedote 8.6.2026: laajentaminen aloitettiin huhtikuussa 2026.,L21;L22
95,Sale Tennby,Sale,Parainen,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-05,kuukausi,,aktiivinen,Tiedote 8.6.2026: käyttöön toukokuussa 2026.,L21;L22
96,Sale Merimasku,Sale,Naantali,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-05,kuukausi,,aktiivinen,Tiedote 8.6.2026: käyttöön toukokuussa 2026.,L21;L22
97,Sale Paattinen,Sale,Turku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-09,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
98,S-market Sauvo,S-market,Sauvo,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-09,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
99,Sale Kyrö,Sale,Pöytyä,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-10,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
100,Sale Pöytyä,Sale,Pöytyä,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-10,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
101,S-market Vehmaa,S-market,Vehmaa,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-11,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
102,Sale Lemu,Sale,Masku,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-11,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
103,S-market Nousiainen,S-market,Nousiainen,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-16,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
104,Sale Alastaro,Sale,Loimaa,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-16,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
105,Sale Yläne,Sale,Pöytyä,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-16,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
106,Sale Nauvo,Sale,Parainen,Varsinais-Suomi,Turun Osuuskauppa (TOK),2026-06-17,päivä,,aktiivinen,Robolaajennusten aikataulu kesäkuu 2026 (TOK). Näiden jälkeen 40 myymälää ja lähes 150 robottia TOK:n alueella.,L21;L22
107,Sale Tori,Sale,Pori,Satakunta,Satakunnan Osuuskauppa,2023-06-20,päivä,,aktiivinen,"Porin keskusta, kauppatorin vieressä.",L23
108,Sale Paratiisinmäki,Sale,Pori,Satakunta,Satakunnan Osuuskauppa,2024-06-04,päivä,,aktiivinen,,L24
109,S-market Noormarkku,S-market,Pori,Satakunta,Satakunnan Osuuskauppa,2024-06-04,päivä,,aktiivinen,,L24
